state,Date,Total Confirmed cases,,,
Rajasthan,12-03-2020,3,,,
Tamil Nadu,12-03-2020,1,,,
Telengana,12-03-2020,1,,,
Union Territory of Jammu and Kashmir,12-03-2020,1,,,
Union Territory of Ladakh,12-03-2020,3,,,
Uttar Pradesh,12-03-2020,11,,,
Andhra Pradesh,13-03-2020,1,,,
Delhi,13-03-2020,6,,,
Haryana,13-03-2020,14,,,
Karnataka,13-03-2020,5,,,
Kerala,13-03-2020,17,,,
Maharashtra,13-03-2020,11,,,
Punjab,13-03-2020,1,,,
Rajasthan,13-03-2020,3,,,
Tamil Nadu,13-03-2020,1,,,
Telengana,13-03-2020,1,,,
Union Territory of Jammu and Kashmir,13-03-2020,1,,,
Union Territory of Ladakh,13-03-2020,3,,,
Uttar Pradesh,13-03-2020,11,,,
Andhra Pradesh,14-03-2020,1,,,
Delhi,14-03-2020,7,,,
Haryana,14-03-2020,14,,,
Karnataka,14-03-2020,6,,,
Kerala,14-03-2020,19,,,
Maharashtra,14-03-2020,14,,,
Punjab,14-03-2020,1,,,
Rajasthan,14-03-2020,3,,,
Tamil Nadu,14-03-2020,1,,,
Telengana,14-03-2020,1,,,
Union Territory of Jammu and Kashmir,14-03-2020,2,,,
Union Territory of Ladakh,14-03-2020,3,,,
Uttar Pradesh,14-03-2020,12,,,
Andhra Pradesh,15-03-2020,1,,,
Delhi,15-03-2020,7,,,
Haryana,15-03-2020,14,,,
Karnataka,15-03-2020,6,,,
Kerala,15-03-2020,23,,,
Maharashtra,15-03-2020,32,,,
Punjab,15-03-2020,1,,,
Rajasthan,15-03-2020,4,,,
Tamil Nadu,15-03-2020,1,,,
Telengana,15-03-2020,3,,,
Union Territory of Jammu and Kashmir,15-03-2020,2,,,
Union Territory of Ladakh,15-03-2020,3,,,
Uttar Pradesh,15-03-2020,13,,,
Uttarakhand,15-03-2020,1,,,
Andhra Pradesh,16-03-2020,1,,,
Delhi,16-03-2020,7,,,
Haryana,16-03-2020,14,,,
Karnataka,16-03-2020,6,,,
Kerala,16-03-2020,23,,,
Maharashtra,16-03-2020,32,,,
Odisha,16-03-2020,1,,,
Punjab,16-03-2020,1,,,
Rajasthan,16-03-2020,4,,,
Tamil Nadu,16-03-2020,1,,,
Telengana,16-03-2020,3,,,
Union Territory of Jammu and Kashmir,16-03-2020,3,,,
Union Territory of Ladakh,16-03-2020,4,,,
Uttar Pradesh,16-03-2020,13,,,
Uttarakhand,16-03-2020,1,,,
Andhra Pradesh,17-03-2020,1,,,
Delhi,17-03-2020,8,,,
Haryana,17-03-2020,15,,,
Karnataka,17-03-2020,11,,,
Kerala,17-03-2020,26,,,
Maharashtra,17-03-2020,39,,,
Odisha,17-03-2020,1,,,
Punjab,17-03-2020,1,,,
Rajasthan,17-03-2020,4,,,
Tamil Nadu,17-03-2020,1,,,
Telengana,17-03-2020,5,,,
Union Territory of Jammu and Kashmir,17-03-2020,3,,,
Union Territory of Ladakh,17-03-2020,6,,,
Uttar Pradesh,17-03-2020,15,,,
Uttarakhand,17-03-2020,1,,,
Andhra Pradesh,18-03-2020,1,,,
Delhi,18-03-2020,10,,,
Haryana,18-03-2020,17,,,
Karnataka,18-03-2020,11,,,
Kerala,18-03-2020,27,,,
Maharashtra,18-03-2020,42,,,
Odisha,18-03-2020,1,,,
Puducherry,18-03-2020,1,,,
Punjab,18-03-2020,1,,,
Rajasthan,18-03-2020,4,,,
Tamil Nadu,18-03-2020,1,,,
Telengana,18-03-2020,6,,,
Union Territory of Jammu and Kashmir,18-03-2020,3,,,
Union Territory of Ladakh,18-03-2020,8,,,
Uttar Pradesh,18-03-2020,16,,,
Uttarakhand,18-03-2020,1,,,
West Bengal,18-03-2020,1,,,
Andhra Pradesh,19-03-2020,2,,,
Chhattisgarh,19-03-2020,1,,,
Delhi,19-03-2020,12,,,
Haryana,19-03-2020,17,,,
Karnataka,19-03-2020,14,,,
Kerala,19-03-2020,27,,,
Maharashtra,19-03-2020,47,,,
Odisha,19-03-2020,1,,,
Puducherry,19-03-2020,1,,,
Punjab,19-03-2020,2,,,
Rajasthan,19-03-2020,7,,,
Tamil Nadu,19-03-2020,2,,,
Telengana,19-03-2020,6,,,
Union Territory of Chandigarh,19-03-2020,1,,,
Union Territory of Jammu and Kashmir,19-03-2020,4,,,
Union Territory of Ladakh,19-03-2020,8,,,
Uttar Pradesh,19-03-2020,19,,,
Uttarakhand,19-03-2020,1,,,
West Bengal,19-03-2020,1,,,
Andhra Pradesh,20-03-2020,2,,,
Chhattisgarh,20-03-2020,1,,,
Delhi,20-03-2020,17,,,
Gujarat,20-03-2020,2,,,
Haryana,20-03-2020,17,,,
Karnataka,20-03-2020,15,,,
Kerala,20-03-2020,28,,,
Maharashtra,20-03-2020,47,,,
Odisha,20-03-2020,1,,,
Puducherry,20-03-2020,1,,,
Punjab,20-03-2020,2,,,
Rajasthan,20-03-2020,7,,,
Tamil Nadu,20-03-2020,3,,,
Telengana,20-03-2020,16,,,
Union Territory of Chandigarh,20-03-2020,1,,,
Union Territory of Jammu and Kashmir,20-03-2020,4,,,
Union Territory of Ladakh,20-03-2020,10,,,
Uttar Pradesh,20-03-2020,19,,,
Uttarakhand,20-03-2020,1,,,
West Bengal,20-03-2020,1,,,
Andhra Pradesh,21-03-2020,3,,,
Chandigarh,21-03-2020,1,,,
Chhattisgarh,21-03-2020,1,,,
Delhi,21-03-2020,26,,,
Gujarat,21-03-2020,7,,,
Haryana,21-03-2020,17,,,
Himachal Pradesh,21-03-2020,2,,,
Jammu and Kashmir,21-03-2020,4,,,
Karnataka,21-03-2020,15,,,
Kerala,21-03-2020,40,,,
Ladakh,21-03-2020,13,,,
Madhya Pradesh,21-03-2020,4,,,
Maharashtra,21-03-2020,63,,,
Odisha,21-03-2020,2,,,
Puducherry,21-03-2020,1,,,
Punjab,21-03-2020,13,,,
Rajasthan,21-03-2020,17,,,
Tamil Nadu,21-03-2020,3,,,
Telengana,21-03-2020,21,,,
Uttar Pradesh,21-03-2020,24,,,
Uttarakhand,21-03-2020,3,,,
West Bengal,21-03-2020,3,,,
Andhra Pradesh,22-03-2020,5,,,
Bihar,22-03-2020,2,,,
Chandigarh,22-03-2020,5,,,
Chhattisgarh,22-03-2020,1,,,
Delhi,22-03-2020,29,,,
Gujarat,22-03-2020,18,,,
Haryana,22-03-2020,21,,,
Himachal Pradesh,22-03-2020,2,,,
Jammu and Kashmir,22-03-2020,4,,,
Karnataka,22-03-2020,26,,,
Kerala,22-03-2020,52,,,
Ladakh,22-03-2020,13,,,
Madhya Pradesh,22-03-2020,4,,,
Maharashtra,22-03-2020,67,,,
Odisha,22-03-2020,2,,,
Puducherry,22-03-2020,1,,,
Punjab,22-03-2020,21,,,
Rajasthan,22-03-2020,24,,,
Tamil Nadu,22-03-2020,7,,,
Telengana,22-03-2020,22,,,
Uttar Pradesh,22-03-2020,27,,,
Uttarakhand,22-03-2020,3,,,
West Bengal,22-03-2020,4,,,
Andhra Pradesh,23-03-2020,7,,,
Bihar,23-03-2020,2,,,
Chandigarh,23-03-2020,6,,,
Chhattisgarh,23-03-2020,1,,,
Delhi,23-03-2020,29,,,
Gujarat,23-03-2020,29,,,
Haryana,23-03-2020,26,,,
Himachal Pradesh,23-03-2020,2,,,
Jammu and Kashmir,23-03-2020,4,,,
Karnataka,23-03-2020,33,,,
Kerala,23-03-2020,67,,,
Ladakh,23-03-2020,13,,,
Madhya Pradesh,23-03-2020,6,,,
Maharashtra,23-03-2020,74,,,
Odisha,23-03-2020,2,,,
Puducherry,23-03-2020,1,,,
Punjab,23-03-2020,21,,,
Rajasthan,23-03-2020,28,,,
Tamil Nadu,23-03-2020,9,,,
Telengana,23-03-2020,32,,,
Uttar Pradesh,23-03-2020,31,,,
Uttarakhand,23-03-2020,3,,,
West Bengal,23-03-2020,7,,,
Andhra Pradesh,24-03-2020,8,,,
Bihar,24-03-2020,3,,,
Chandigarh,24-03-2020,7,,,
Chhattisgarh,24-03-2020,1,,,
Delhi,24-03-2020,30,,,
Gujarat,24-03-2020,33,,,
Haryana,24-03-2020,28,,,
Himachal Pradesh,24-03-2020,3,,,
Jammu and Kashmir,24-03-2020,4,,,
Karnataka,24-03-2020,37,,,
Kerala,24-03-2020,95,,,
Ladakh,24-03-2020,13,,,
Madhya Pradesh,24-03-2020,7,,,
Maharashtra,24-03-2020,89,,,
Manipur,24-03-2020,1,,,
Odisha,24-03-2020,2,,,
Puducherry,24-03-2020,1,,,
Punjab,24-03-2020,29,,,
Rajasthan,24-03-2020,32,,,
Tamil Nadu,24-03-2020,15,,,
Telengana,24-03-2020,35,,,
Uttar Pradesh,24-03-2020,33,,,
Uttarakhand,24-03-2020,4,,,
West Bengal,24-03-2020,9,,,
Andhra Pradesh,25-03-2020,9,,,
Bihar,25-03-2020,4,,,
Chandigarh,25-03-2020,7,,,
Chhattisgarh,25-03-2020,1,,,
Delhi,25-03-2020,31,,,
Gujarat,25-03-2020,38,,,
Haryana,25-03-2020,28,,,
Himachal Pradesh,25-03-2020,3,,,
Jammu and Kashmir,25-03-2020,7,,,
Karnataka,25-03-2020,41,,,
Kerala,25-03-2020,109,,,
Ladakh,25-03-2020,13,,,
Madhya Pradesh,25-03-2020,14,,,
Maharashtra,25-03-2020,128,,,
Manipur,25-03-2020,1,,,
Mizoram,25-03-2020,1,,,
Odisha,25-03-2020,2,,,
Puducherry,25-03-2020,1,,,
Punjab,25-03-2020,29,,,
Rajasthan,25-03-2020,36,,,
Tamil Nadu,25-03-2020,18,,,
Telengana,25-03-2020,35,,,
Uttar Pradesh,25-03-2020,37,,,
Uttarakhand,25-03-2020,4,,,
West Bengal,25-03-2020,9,,,
Andaman and Nicobar Islands,26-03-2020,1,,,
Andhra Pradesh,26-03-2020,11,,,
Bihar,26-03-2020,6,,,
Chandigarh,26-03-2020,7,,,
Chhattisgarh,26-03-2020,6,,,
Delhi,26-03-2020,36,,,
Goa,26-03-2020,3,,,
Gujarat,26-03-2020,43,,,
Haryana,26-03-2020,30,,,
Himachal Pradesh,26-03-2020,3,,,
Jammu and Kashmir,26-03-2020,13,,,
Karnataka,26-03-2020,55,,,
Kerala,26-03-2020,118,,,
Ladakh,26-03-2020,13,,,
Madhya Pradesh,26-03-2020,20,,,
Maharashtra,26-03-2020,124,,,
Manipur,26-03-2020,1,,,
Mizoram,26-03-2020,1,,,
Odisha,26-03-2020,2,,,
Puducherry,26-03-2020,1,,,
Punjab,26-03-2020,33,,,
Rajasthan,26-03-2020,41,,,
Tamil Nadu,26-03-2020,26,,,
Telengana,26-03-2020,44,,,
Uttar Pradesh,26-03-2020,41,,,
Uttarakhand,26-03-2020,5,,,
West Bengal,26-03-2020,10,,,
Andaman and Nicobar Islands,27-03-2020,1,,,
Andhra Pradesh,27-03-2020,12,,,
Bihar,27-03-2020,6,,,
Chandigarh,27-03-2020,7,,,
Chhattisgarh,27-03-2020,6,,,
Delhi,27-03-2020,36,,,
Goa,27-03-2020,3,,,
Gujarat,27-03-2020,43,,,
Haryana,27-03-2020,30,,,
Himachal Pradesh,27-03-2020,3,,,
Jammu and Kashmir,27-03-2020,13,,,
Karnataka,27-03-2020,55,,,
Kerala,27-03-2020,137,,,
Ladakh,27-03-2020,13,,,
Madhya Pradesh,27-03-2020,20,,,
Maharashtra,27-03-2020,130,,,
Manipur,27-03-2020,1,,,
Mizoram,27-03-2020,1,,,
Odisha,27-03-2020,2,,,
Puducherry,27-03-2020,1,,,
Punjab,27-03-2020,33,,,
Rajasthan,27-03-2020,41,,,
Tamil Nadu,27-03-2020,29,,,
Telengana,27-03-2020,45,,,
Uttar Pradesh,27-03-2020,41,,,
Uttarakhand,27-03-2020,5,,,
West Bengal,27-03-2020,10,,,
Andaman and Nicobar Islands,28-03-2020,6,,,
Andhra Pradesh,28-03-2020,14,,,
Bihar,28-03-2020,9,,,
Chandigarh,28-03-2020,8,,,
Chhattisgarh,28-03-2020,6,,,
Delhi,28-03-2020,39,,,
Goa,28-03-2020,3,,,
Gujarat,28-03-2020,45,,,
Haryana,28-03-2020,33,,,
Himachal Pradesh,28-03-2020,3,,,
Jammu and Kashmir,28-03-2020,20,,,
Karnataka,28-03-2020,55,,,
Kerala,28-03-2020,176,,,
Ladakh,28-03-2020,13,,,
Madhya Pradesh,28-03-2020,30,,,
Maharashtra,28-03-2020,180,,,
Manipur,28-03-2020,1,,,
Mizoram,28-03-2020,1,,,
Odisha,28-03-2020,3,,,
Puducherry,28-03-2020,1,,,
Punjab,28-03-2020,38,,,
Rajasthan,28-03-2020,54,,,
Tamil Nadu,28-03-2020,40,,,
Telengana,28-03-2020,56,,,
Uttar Pradesh,28-03-2020,55,,,
Uttarakhand,28-03-2020,5,,,
West Bengal,28-03-2020,15,,,
Andaman and Nicobar Islands,29-03-2020,9,,,
Andhra Pradesh,29-03-2020,14,,,
Bihar,29-03-2020,9,,,
Chandigarh,29-03-2020,8,,,
Chhattisgarh,29-03-2020,6,,,
Delhi,29-03-2020,39,,,
Goa,29-03-2020,3,,,
Gujarat,29-03-2020,53,,,
Haryana,29-03-2020,33,,,
Himachal Pradesh,29-03-2020,3,,,
Jammu and Kashmir,29-03-2020,31,,,
Karnataka,29-03-2020,76,,,
Kerala,29-03-2020,182,,,
Ladakh,29-03-2020,13,,,
Madhya Pradesh,29-03-2020,30,,,
Maharashtra,29-03-2020,186,,,
Manipur,29-03-2020,1,,,
Mizoram,29-03-2020,1,,,
Odisha,29-03-2020,3,,,
Puducherry,29-03-2020,1,,,
Punjab,29-03-2020,38,,,
Rajasthan,29-03-2020,54,,,
Tamil Nadu,29-03-2020,42,,,
Telengana,29-03-2020,66,,,
Uttar Pradesh,29-03-2020,55,,,
Uttarakhand,29-03-2020,6,,,
West Bengal,29-03-2020,18,,,
Andaman and Nicobar Islands,30-03-2020,9,,,
Andhra Pradesh,30-03-2020,19,,,
Bihar,30-03-2020,11,,,
Chandigarh,30-03-2020,8,,,
Chhattisgarh,30-03-2020,7,,,
Delhi,30-03-2020,53,,,
Goa,30-03-2020,5,,,
Gujarat,30-03-2020,58,,,
Haryana,30-03-2020,33,,,
Himachal Pradesh,30-03-2020,3,,,
Jammu and Kashmir,30-03-2020,31,,,
Karnataka,30-03-2020,80,,,
Kerala,30-03-2020,194,,,
Ladakh,30-03-2020,13,,,
Madhya Pradesh,30-03-2020,33,,,
Maharashtra,30-03-2020,193,,,
Manipur,30-03-2020,1,,,
Mizoram,30-03-2020,1,,,
Odisha,30-03-2020,3,,,
Puducherry,30-03-2020,1,,,
Punjab,30-03-2020,38,,,
Rajasthan,30-03-2020,57,,,
Tamil Nadu,30-03-2020,50,,,
Telengana,30-03-2020,69,,,
Uttar Pradesh,30-03-2020,75,,,
Uttarakhand,30-03-2020,7,,,
West Bengal,30-03-2020,19,,,
Andaman and Nicobar Islands,31-03-2020,10,,,
Andhra Pradesh,31-03-2020,40,,,
Bihar,31-03-2020,15,,,
Chandigarh,31-03-2020,13,,,
Chhattisgarh,31-03-2020,8,,,
Delhi,31-03-2020,97,,,
Goa,31-03-2020,5,,,
Gujarat,31-03-2020,73,,,
Haryana,31-03-2020,40,,,
Himachal Pradesh,31-03-2020,3,,,
Jammu and Kashmir,31-03-2020,54,,,
Karnataka,31-03-2020,83,,,
Kerala,31-03-2020,234,,,
Ladakh,31-03-2020,13,,,
Madhya Pradesh,31-03-2020,47,,,
Maharashtra,31-03-2020,216,,,
Manipur,31-03-2020,1,,,
Mizoram,31-03-2020,1,,,
Odisha,31-03-2020,3,,,
Puducherry,31-03-2020,1,,,
Punjab,31-03-2020,41,,,
Rajasthan,31-03-2020,74,,,
Tamil Nadu,31-03-2020,74,,,
Telengana,31-03-2020,79,,,
Uttar Pradesh,31-03-2020,101,,,
Uttarakhand,31-03-2020,7,,,
West Bengal,31-03-2020,26,,,
Andaman and Nicobar Islands,01-04-2020,10,,,
Andhra Pradesh,01-04-2020,83,,,
Assam,01-04-2020,1,,,
Bihar,01-04-2020,23,,,
Chandigarh,01-04-2020,16,,,
Chhattisgarh,01-04-2020,9,,,
Delhi,01-04-2020,152,,,
Goa,01-04-2020,5,,,
Gujarat,01-04-2020,82,,,
Haryana,01-04-2020,43,,,
Himachal Pradesh,01-04-2020,3,,,
Jammu and Kashmir,01-04-2020,62,,,
Jharkhand,01-04-2020,1,,,
Karnataka,01-04-2020,101,,,
Kerala,01-04-2020,241,,,
Ladakh,01-04-2020,13,,,
Madhya Pradesh,01-04-2020,66,,,
Maharashtra,01-04-2020,302,,,
Manipur,01-04-2020,1,,,
Mizoram,01-04-2020,1,,,
Odisha,01-04-2020,4,,,
Puducherry,01-04-2020,3,,,
Punjab,01-04-2020,42,,,
Rajasthan,01-04-2020,93,,,
Tamil Nadu,01-04-2020,234,,,
Telengana,01-04-2020,96,,,
Uttar Pradesh,01-04-2020,103,,,
Uttarakhand,01-04-2020,7,,,
Andaman and Nicobar Islands,02-04-2020,10,,,
Andhra Pradesh,02-04-2020,86,,,
Assam,02-04-2020,1,,,
Bihar,02-04-2020,23,,,
Chandigarh,02-04-2020,16,,,
Chhattisgarh,02-04-2020,9,,,
Delhi,02-04-2020,152,,,
Goa,02-04-2020,5,,,
Gujarat,02-04-2020,82,,,
Haryana,02-04-2020,43,,,
Himachal Pradesh,02-04-2020,3,,,
Jammu and Kashmir,02-04-2020,62,,,
Jharkhand,02-04-2020,1,,,
Karnataka,02-04-2020,110,,,
Kerala,02-04-2020,265,,,
Ladakh,02-04-2020,13,,,
Madhya Pradesh,02-04-2020,99,,,
Maharashtra,02-04-2020,335,,,
Manipur,02-04-2020,1,,,
Mizoram,02-04-2020,1,,,
Odisha,02-04-2020,4,,,
Puducherry,02-04-2020,3,,,
Punjab,02-04-2020,46,,,
Rajasthan,02-04-2020,108,,,
Tamil Nadu,02-04-2020,234,,,
Telengana,02-04-2020,96,,,
Uttar Pradesh,02-04-2020,113,,,
Uttarakhand,02-04-2020,7,,,
Andaman and Nicobar Islands,03-04-2020,10,,,
Andhra Pradesh,03-04-2020,132,,,
Arunachal Pradesh,03-04-2020,1,,,
Assam,03-04-2020,16,,,
Bihar,03-04-2020,24,,,
Chandigarh,03-04-2020,18,,,
Chhattisgarh,03-04-2020,9,,,
Delhi,03-04-2020,219,,,
Goa,03-04-2020,6,,,
Gujarat,03-04-2020,87,,,
Haryana,03-04-2020,43,,,
Himachal Pradesh,03-04-2020,6,,,
Jammu and Kashmir,03-04-2020,70,,,
Jharkhand,03-04-2020,2,,,
Karnataka,03-04-2020,124,,,
Kerala,03-04-2020,286,,,
Ladakh,03-04-2020,14,,,
Madhya Pradesh,03-04-2020,99,,,
Maharashtra,03-04-2020,335,,,
Manipur,03-04-2020,2,,,
Mizoram,03-04-2020,1,,,
Odisha,03-04-2020,5,,,
Puducherry,03-04-2020,3,,,
Punjab,03-04-2020,46,,,
Rajasthan,03-04-2020,133,,,
Tamil Nadu,03-04-2020,309,,,
Telengana,03-04-2020,107,,,
Uttar Pradesh,03-04-2020,113,,,
Uttarakhand,03-04-2020,10,,,
West Bengal,03-04-2020,53,,,
Andaman and Nicobar Islands,04-04-2020,10,,,
Andhra Pradesh,04-04-2020,161,,,
Arunachal Pradesh,04-04-2020,1,,,
Assam,04-04-2020,24,,,
Bihar,04-04-2020,29,,,
Chandigarh,04-04-2020,18,,,
Chhattisgarh,04-04-2020,9,,,
Delhi,04-04-2020,386,,,
Goa,04-04-2020,6,,,
Gujarat,04-04-2020,95,,,
Haryana,04-04-2020,49,,,
Himachal Pradesh,04-04-2020,6,,,
Jammu and Kashmir,04-04-2020,75,,,
Jharkhand,04-04-2020,2,,,
Karnataka,04-04-2020,128,,,
Kerala,04-04-2020,295,,,
Ladakh,04-04-2020,14,,,
Madhya Pradesh,04-04-2020,104,,,
Maharashtra,04-04-2020,423,,,
Manipur,04-04-2020,2,,,
Mizoram,04-04-2020,1,,,
Odisha,04-04-2020,5,,,
Puducherry,04-04-2020,5,,,
Punjab,04-04-2020,53,,,
Rajasthan,04-04-2020,179,,,
Tamil Nadu,04-04-2020,411,,,
Telengana,04-04-2020,158,,,
Uttar Pradesh,04-04-2020,174,,,
Uttarakhand,04-04-2020,16,,,
Andaman and Nicobar Islands,05-04-2020,10,,,
Andhra Pradesh,05-04-2020,161,,,
Arunachal Pradesh,05-04-2020,1,,,
Assam,05-04-2020,24,,,
Bihar,05-04-2020,30,,,
Chandigarh,05-04-2020,18,,,
Chhattisgarh,05-04-2020,9,,,
Delhi,05-04-2020,445,,,
Goa,05-04-2020,7,,,
Gujarat,05-04-2020,105,,,
Haryana,05-04-2020,49,,,
Himachal Pradesh,05-04-2020,6,,,
Jammu and Kashmir,05-04-2020,92,,,
Jharkhand,05-04-2020,2,,,
Karnataka,05-04-2020,144,,,
Kerala,05-04-2020,306,,,
Ladakh,05-04-2020,14,,,
Madhya Pradesh,05-04-2020,104,,,
Maharashtra,05-04-2020,490,,,
Manipur,05-04-2020,2,,,
Mizoram,05-04-2020,1,,,
Odisha,05-04-2020,20,,,
Puducherry,05-04-2020,5,,,
Punjab,05-04-2020,57,,,
Rajasthan,05-04-2020,200,,,
Tamil Nadu,05-04-2020,485,,,
Telengana,05-04-2020,269,,,
Uttar Pradesh,05-04-2020,227,,,
Uttarakhand,05-04-2020,22,,,
West Bengal,05-04-2020,69,,,
Andaman and Nicobar Islands,06-04-2020,10,,,
Andhra Pradesh,06-04-2020,226,,,
Arunachal Pradesh,06-04-2020,1,,,
Assam,06-04-2020,26,,,
Bihar,06-04-2020,30,,,
Chandigarh,06-04-2020,18,,,
Chhattisgarh,06-04-2020,9,,,
Delhi,06-04-2020,503,,,
Goa,06-04-2020,7,,,
Gujarat,06-04-2020,122,,,
Haryana,06-04-2020,84,,,
Himachal Pradesh,06-04-2020,13,,,
Jammu and Kashmir,06-04-2020,106,,,
Jharkhand,06-04-2020,3,,,
Karnataka,06-04-2020,151,,,
Kerala,06-04-2020,314,,,
Ladakh,06-04-2020,14,,,
Madhya Pradesh,06-04-2020,165,,,
Maharashtra,06-04-2020,690,,,
Manipur,06-04-2020,2,,,
Mizoram,06-04-2020,1,,,
Odisha,06-04-2020,21,,,
Puducherry,06-04-2020,5,,,
Punjab,06-04-2020,68,,,
Rajasthan,06-04-2020,253,,,
Tamil Nadu,06-04-2020,571,,,
Telengana,06-04-2020,321,,,
Uttar Pradesh,06-04-2020,227,,,
Uttarakhand,06-04-2020,26,,,
West Bengal,06-04-2020,80,,,
Andaman and Nicobar Islands,07-04-2020,10,,,
Andhra Pradesh,07-04-2020,266,,,
Arunachal Pradesh,07-04-2020,1,,,
Assam,07-04-2020,26,,,
Bihar,07-04-2020,32,,,
Chandigarh,07-04-2020,18,,,
Chhattisgarh,07-04-2020,10,,,
Delhi,07-04-2020,523,,,
Goa,07-04-2020,7,,,
Gujarat,07-04-2020,144,,,
Haryana,07-04-2020,90,,,
Himachal Pradesh,07-04-2020,13,,,
Jammu and Kashmir,07-04-2020,109,,,
Jharkhand,07-04-2020,4,,,
Karnataka,07-04-2020,151,,,
Kerala,07-04-2020,327,,,
Ladakh,07-04-2020,14,,,
Madhya Pradesh,07-04-2020,165,,,
Maharashtra,07-04-2020,748,,,
Manipur,07-04-2020,2,,,
Mizoram,07-04-2020,1,,,
Odisha,07-04-2020,21,,,
Puducherry,07-04-2020,5,,,
Punjab,07-04-2020,76,,,
Rajasthan,07-04-2020,288,,,
Tamil Nadu,07-04-2020,621,,,
Telengana,07-04-2020,321,,,
